,品名,型号,米重/kg,长度/mm,支/件,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,24kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,30kg,,,,,,,,,,,,,,
矿用品,轻轨,15kg~30kg,,,,55Q,,,,,,,,,,
矿用品,重轨,38kg,,4500,,U71Mn,,,,,,,,,,
矿用品,重轨,38kg,,6000,,U71Mn,,,,,,,,,,
矿用品,重轨,38kg,,6250,,U71Mn,,,,,,,,,,
矿用品,重轨,38kg,,8000,,U71Mn,,,,,,,,,,
矿用品,重轨,38kg,,9000,,U71Mn,,,,,,,,,,
矿用品,重轨,38kg,,10800,,U71Mn,,,,,,,,,,
矿用品,重轨,38kg,,12000,,U71Mn,,,,,,,,,,
矿用品,重轨,38kg,,12500,,U71Mn,,,,,,,,,,
矿用品,重轨,43kg,,3125,,U71Mn,,,,,,,,,,
矿用品,重轨,43kg,,6000,,U71Mn,,,,,,,,,,
矿用品,重轨,43kg,,6250,,U71Mn,,,,,,,,,,
矿用品,重轨,43kg,,7700,,U71Mn,,,,,,,,,,
矿用品,重轨,43kg,,11700,,U71Mn,,,,,,,,,,
矿用品,重轨,43kg,,12000,,U71Mn,,,,,,,,,,
矿用品,重轨,43kg,,12500,,U71Mn,,,,,,,,,,
矿用品,重轨,50kg,,500,,U71Mn,,,,,,,,,,
矿用品,重轨,50kg,,2000,,U71Mn,,,,,,,,,,
矿用品,重轨,50kg,,2500,,U71Mn,,,,,,,,,,
